Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	50	50	50	50	50	50	50	1024
2	150	150	150	150	150	150	150	1024
3	375	375	375	375	375	375	375	1024
4	785	785	785	785	785	785	785	1024
5	1415	1415	1415	1415	1415	1415	1415	1024
6	2268	2268	2268	2268	2268	2268	2268	1024
7	3288	3288	3288	3288	3288	3288	3288	1024
8	4436	4436	4436	4436	4436	4436	4436	1024
9	5770	5770	5770	5770	5770	5770	5770	1024
10	7214	7214	7214	7214	7214	7214	7214	1024
11	9018	9018	9018	9018	9018	9018	9018	1024
12	11270	11270	11270	11270	11270	11270	11270	1024
13	14090	14090	14090	14090	14090	14090	14090	1024
14	17610	17610	17610	17610	17610	17610	17610	1024
15	22016	22016	22016	22016	22016	22016	22016	1024
16	27520	27520	27520	27520	27520	27520	27520	1024
17	34400	34400	34400	34400	34400	34400	34400	1024
18	43000	43000	43000	43000	43000	43000	43000	1024
19	53750	53750	53750	53750	53750	53750	53750	1024
20	67180	67180	67180	67180	67180	67180	67180	1024
21	83980	83980	83980	83980	83980	83980	83980	1024
22	104980	104980	104980	104980	104980	104980	104980	1024
23	131220	131220	131220	131220	131220	131220	131220	1024
24	164030	164030	164030	164030	164030	164030	164030	1024
25	205040	205040	205040	205040	205040	205040	205040	1024
26	256300	256300	256300	256300	256300	256300	256300	1024
27	320380	320380	320380	320380	320380	320380	320380	1024
28	390220	390220	390220	390220	390220	390220	390220	1024
29	466350	466350	466350	466350	466350	466350	466350	1024
30	549330	549330	549330	549330	549330	549330	549330	1024
31	639780	639780	639780	639780	639780	639780	639780	1024
32	738370	738370	738370	738370	738370	738370	738370	1024
33	845830	845830	845830	845830	845830	845830	845830	1024
34	962970	962970	962970	962970	962970	962970	962970	1024
35	1090640	1090640	1090640	1090640	1090640	1090640	1090640	1024
36	1229810	1229810	1229810	1229810	1229810	1229810	1229810	1024
37	1381500	1381500	1381500	1381500	1381500	1381500	1381500	1024
38	1546850	1546850	1546850	1546850	1546850	1546850	1546850	1024
39	1727070	1727070	1727070	1727070	1727070	1727070	1727070	1024
