npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	102400	1088	128	4	102400	922	1024									500000	500000	500000
charsi	102400	960	128	4	102400	922	1024									500000	500000	500000
akara	102400	1024	128	4	102400	922	1024									500000	500000	500000
lysander	102400	1024	128	9	102400	922	1024									500000	500000	500000
drognan	102400	1024	128	9	102400	922	1024									500000	500000	500000
elzix	102400	1024	128	9	102400	922	1024									500000	500000	500000
fara	102400	1024	128	9	102400	922	1024									500000	500000	500000
hratli	102400	1024	128	17	102400	922	1024									500000	500000	500000
alkor	102400	1024	128	17	102400	922	1024									500000	500000	500000
ormus	102400	1024	128	17	102400	922	1024									500000	500000	500000
asheara	102400	1024	128	17	102400	922	1024									500000	500000	500000
jamella	102400	1024	128	41	102400	922	1024									500000	500000	500000
halbu	102400	1024	128	41	102400	922	1024									500000	500000	500000
malah	102400	2048	128	41	102400	922	1024	35	102400	512	1024					500000	500000	500000
drehya	102400	2048	128	41	102400	922	1024	35	102400	512	1024					500000	500000	500000
larzuk	102400	2048	128	41	102400	922	1024	35	102400	512	1024					500000	500000	500000
nihlathak	102400	2048	128	41	102400	922	1024	35	102400	512	1024					500000	500000	500000
